TV,Radio,Social Media,Sales,Performance,Total_Investment,ROI
16.0,6.566230788,2.907982773,54.73275715,Basse Performance,25.474213561,114.85553231678037
13.0,9.237764567,2.409567204,46.67789698,Basse Performance,24.647331770999998,89.38316493520456
41.0,15.88644602,2.913410175,150.1778288,Basse Performance,59.799856195000004,151.1340968952977
83.0,30.02002826,6.922303959,298.2463398,Haute Performance,119.94233221900001,148.65811284662925
15.0,8.437407682,1.40599815,56.5941808,Basse Performance,24.843405832,127.8036320088723
29.0,9.614382036,1.02716349,105.8891476,Basse Performance,39.641545526,167.11659748621477
55.0,24.89381148,4.273602146,198.6798248,Haute Performance,84.167413626,136.05314247012362
31.0,17.35504181,2.289854925,108.7339319,Basse Performance,50.644896735,114.69869406378994
76.0,24.64889821,7.130115956,270.1894,Haute Performance,107.779014166,150.6883200693016
13.0,0.431127823,2.229423022,48.28058223,Basse Performance,15.660550845000001,208.2942784570998
62.0,24.34518879,5.151483172,224.9610192,Haute Performance,91.49667196200001,145.86798008722093
42.0,15.8073374,3.194924641,145.5439916,Basse Performance,61.002262041,138.58786007341658
64.0,20.24042393,3.921147972,229.6323807,Haute Performance,88.16157190199999,160.46765699148187
34.0,0.226326491,2.372705624,121.3364193,Basse Performance,36.599032115,231.5290385787843
36.0,3.90019598,0.060401795,123.5261126,Basse Performance,39.960597775,209.11978167974246
60.0,22.35372075,0.940801841,212.7643968,Haute Performance,83.294522591,155.4362402012125
25.0,9.905842649,1.853224897,89.8199226,Basse Performance,36.759067546,144.34766330130674
100.0,36.11609149,3.67429598,353.8046387,Haute Performance,139.79038747,153.09654340569656
92.0,40.73698967,4.636563904,329.3505396,Haute Performance,137.37355357400003,139.7481400396229
46.0,12.69509229,3.88458384,162.1913335,Basse Performance,62.579676129999996,159.1757316913427
78.0,35.56822382,2.832450089,276.4013399,Haute Performance,116.400673909,137.45682101126465
37.0,2.828972458,4.556701242,128.4846619,Basse Performance,44.385673700000005,189.47327186789994
99.0,37.26381865,6.88653481,349.8615752,Haute Performance,143.15035346,144.40147491341025
75.0,20.34898797,1.227180495,272.2501078,Haute Performance,96.576168465,181.90195586260572
54.0,27.807614,4.060781965,192.4619083,Basse Performance,85.868395965,124.13590720670685
27.0,7.280088955,2.179478014,96.74937343,Basse Performance,36.459566968999994,165.36073100446268
21.0,9.282685174,3.055758381,76.99292807,Basse Performance,33.338443555,130.94337905421756
40.0,13.05041081,1.971184795,139.2887894,Basse Performance,55.021595605,153.15294452737092
67.0,24.13761593,5.573093351,234.8510253,Haute Performance,96.71070928099999,142.83869598931727
90.0,29.02101661,6.431995293,323.0321827,Haute Performance,125.453011903,157.49256857202266
12.0,3.567660711,3.558311365,40.79219533,Basse Performance,19.125972076,113.28168402581535
81.0,27.33577511,5.263650376,290.7775735,Haute Performance,113.599425486,155.96746837054687
43.0,16.34871104,2.814013458,150.6264947,Basse Performance,62.162724497999996,142.30999512392063
47.0,17.37652562,1.905040273,161.7851523,Basse Performance,66.28156589299999,144.08770390424067
43.0,18.23019243,4.079293023,155.5991953,Basse Performance,65.30948545300001,138.24899893289927
75.0,23.62623841,6.199769157,263.0206872,Haute Performance,104.826007567,150.91167097238647
79.0,23.51057067,2.188926056,281.5789422,Haute Performance,104.69949672599999,168.94011051160626
65.0,24.56354623,3.41966808,231.6700477,Haute Performance,92.98321431,149.15254803692537
43.0,12.84212842,2.593697318,148.7069665,Basse Performance,58.435825738,154.47910527821622
82.0,27.64758545,5.611221835,294.9524151,Haute Performance,115.258807285,155.90444847366183
68.0,21.63920124,3.223647705,242.8248811,Haute Performance,92.86284894500001,161.48764964535835
98.0,37.57095206,8.529604366,351.7730679,Haute Performance,144.100556426,144.1163841588954
26.0,10.59953251,0.679275349,91.92229739,Basse Performance,37.278807859000004,146.5805712931556
10.0,6.145248262,1.591116473,32.56682505,Basse Performance,17.736364735,83.61612166068258
32.0,0.627618771,2.676075167,115.2625668,Basse Performance,35.303693938,226.48868699808858
29.0,8.852094414,0.041494349,101.8731014,Basse Performance,37.893588763,168.83994027894974
32.0,11.52414895,2.566791358,111.8997121,Basse Performance,46.090940308,142.78027602005244
29.0,14.4341063,0.463277331,104.3526653,Basse Performance,43.897383631,137.7195556281558
91.0,40.10852728,7.236170474,326.3817124,Haute Performance,138.344697754,135.91920593903876
83.0,34.28141179,8.697487404,300.7305325,Haute Performance,125.978899194,138.7150026107887
72.0,23.92269582,3.373809656,255.1551652,Haute Performance,99.29650547600001,156.96288502486232
47.0,24.16913194,2.087910259,161.7170871,Basse Performance,73.257042199,120.75295732074687
10.0,3.455868379,2.400118071,39.62567824,Basse Performance,15.85598645,149.90988964928133
49.0,10.06762616,1.729667405,169.0081129,Basse Performance,60.797293565000004,177.9862441069172
14.0,5.197856187,0.413965989,50.98848158,Basse Performance,19.611822176,159.9884963386892
20.0,10.75005058,2.442173814,70.47172273,Basse Performance,33.192224394,112.3139500790397
17.0,10.44745162,3.356106421,58.59009126,Basse Performance,30.803558041000002,90.20559632109935
68.0,29.8927411,6.096743741,237.7721637,Haute Performance,103.98948484099999,128.65019868456298
91.0,25.04555745,6.109369688,322.1004964,Haute Performance,122.154927138,163.68195204776217
52.0,17.11323977,2.638642418,181.0796122,Basse Performance,71.75188218800001,152.36914583724229
41.0,3.921540021,2.527850591,145.9192,Basse Performance,47.449390612,207.52597265832296
65.0,11.65648785,0.358471532,228.5646491,Haute Performance,77.014959382,196.77954897866286
82.0,31.60769079,3.952448108,288.9822393,Haute Performance,117.56013889799999,145.81651740879013
14.0,18.64944183,4.529927084,49.81567405,Basse Performance,37.179368914,33.98741158094741
84.0,31.26640836,8.080731556,299.099052,Haute Performance,123.347139916,142.48559975017488
99.0,30.14056912,6.546158024,351.3598902,Haute Performance,135.686727144,158.94934426940148
15.0,2.234293408,1.07771826,55.00971238,Basse Performance,18.312011668,200.40234452301462
64.0,24.69852188,6.741382758,223.0991462,Haute Performance,95.439904638,133.75876898264593
70.0,15.2477262,4.587703384,247.1394014,Haute Performance,89.835429584,175.1023761387082
77.0,26.82235002,5.514187222,274.7071,Haute Performance,109.336537242,151.24913128717174
81.0,20.39194685,3.212250256,289.1757587,Haute Performance,104.604197106,176.4475677844605
46.0,17.79013454,4.117631989,168.0365387,Basse Performance,67.907766529,147.44818934405686
56.0,25.27608704,3.239265214,198.3215216,Haute Performance,84.51535225399999,134.6573921906759
98.0,33.05515873,6.063457718,349.7452965,Haute Performance,137.118616448,155.06769653895623
47.0,18.2339617,0.827545346,166.1372196,Basse Performance,66.06150704599999,151.48869141649348
18.0,8.808702773,2.414186295,59.28931563,Basse Performance,29.222889068,102.8865643367332
77.0,22.9553127,2.642504816,272.6321364,Haute Performance,102.597817516,165.72898235138706
22.0,6.041725794,2.136632357,77.41731834,Basse Performance,30.178358151,156.53257195979918
99.0,37.7178052,3.590086383,349.4239745,Haute Performance,140.30789158299999,149.0408561896863
36.0,9.096779889,3.81883449,127.0926738,Basse Performance,48.915614379000004,159.82025456182808
12.0,1.648197979,1.30572513,43.06509252,Basse Performance,14.953923109000002,187.985247791473
94.0,47.11629339,9.322957802,336.5934202,Haute Performance,150.439251192,123.7404251437136
97.0,39.23230636,3.698661076,345.3131637,Haute Performance,139.930967436,146.77394148506502
